City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather Description
0,Hilo,US,19.7297,-155.09,83.28,82,20,4.61,few clouds
1,Mahebourg,MU,-20.4081,57.7,76.24,78,40,4.61,scattered clouds
2,Bonthe,SL,7.5264,-12.505,79.47,79,21,5.97,few clouds
3,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,85,100,8.05,light snow
4,Kapaa,US,22.0752,-159.319,80.92,85,0,9.22,clear sky
5,Abu Kamal,SY,34.4506,40.9171,61.32,67,71,5.14,broken clouds
6,Butaritari,KI,3.0707,172.7902,81.1,77,18,13.18,few clouds
7,Nanortalik,GL,60.1432,-45.2371,29.98,83,100,18.66,overcast clouds
8,Ahipara,NZ,-35.1667,173.1667,61.25,68,99,15.93,overcast clouds
9,Ambanja,MG,-13.6833,48.45,73.81,93,36,0.67,moderate rain
10,Prainha,BR,-1.8,-53.48,84.9,66,64,4.68,broken clouds
11,Ushuaia,AR,-54.8,-68.3,53.26,50,75,27.63,broken clouds
12,Sao Filipe,CV,14.8961,-24.4956,76.23,65,68,8.32,broken clouds
13,Hobart,AU,-42.8794,147.3294,52.05,77,75,4.61,broken clouds
14,Svetlyy,RU,54.675,20.1347,35.65,93,100,7.34,overcast clouds
15,Port Lavaca,US,28.615,-96.6261,62.92,58,0,19.57,clear sky
16,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,84,84,3.62,broken clouds
17,Shush,IR,32.1942,48.2436,71.31,55,35,5.39,light rain
18,Oudtshoorn,ZA,-33.5907,22.2014,61.16,67,10,2.59,clear sky
19,Mahibadhoo,MV,3.7833,72.9667,80.55,69,39,4.52,scattered clouds
20,Half Moon Bay,US,37.4636,-122.4286,57.9,63,20,8.05,few clouds
21,Lebu,CL,-37.6167,-73.65,56.37,64,0,20.87,clear sky
22,Mar Del Plata,AR,-38.0023,-57.5575,67.08,92,100,20.0,moderate rain
23,Maniitsoq,GL,65.4167,-52.9,21.9,78,100,35.77,overcast clouds
24,Hithadhoo,MV,-0.6,73.0833,81.21,74,46,6.78,scattered clouds
25,Avera,US,33.194,-82.5271,68.56,71,77,12.01,broken clouds
26,Iqaluit,CA,63.7506,-68.5145,-20.31,68,20,12.66,few clouds
27,Onda,ES,39.9667,-0.25,54.05,82,98,3.69,overcast clouds
28,Ribeira Grande,PT,38.5167,-28.7,63.0,67,75,7.0,broken clouds
29,Rikitea,PF,-23.1203,-134.9692,72.27,72,100,13.62,overcast clouds
30,Padang,ID,-0.9492,100.3543,75.4,95,100,2.8,light rain
31,East London,ZA,-33.0153,27.9116,72.64,88,100,13.24,overcast clouds
32,Togur,RU,58.3631,82.8265,-23.24,100,11,1.07,few clouds
33,Dikson,RU,73.5069,80.5464,22.03,94,100,11.23,overcast clouds
34,Amalapuram,IN,16.5833,82.0167,72.63,87,1,3.83,clear sky
35,Stornoway,GB,58.2093,-6.3865,49.96,93,75,18.41,broken clouds
36,Linqiong,CN,30.4159,103.4609,42.62,94,100,3.36,overcast clouds
37,Wuxue,CN,29.8506,115.5525,30.78,96,100,2.86,snow
38,Busselton,AU,-33.65,115.3333,62.01,82,99,8.9,overcast clouds
39,Longyearbyen,SJ,78.2186,15.6401,35.44,87,100,14.97,light shower sleet
40,Leningradskiy,RU,69.3833,178.4167,1.29,97,91,4.32,overcast clouds
41,Punta Arenas,CL,-53.15,-70.9167,55.42,50,75,31.07,broken clouds
42,Kodiak,US,57.79,-152.4072,15.31,73,0,5.75,clear sky
43,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,94,100,19.57,light rain
44,Albany,US,42.6001,-73.9662,51.73,92,100,4.0,light rain
45,Kyra,RU,49.5776,111.9753,-11.11,81,20,7.61,few clouds
46,Saldanha,ZA,-33.0117,17.9442,64.45,91,0,10.09,clear sky
47,Puerto Ayora,EC,-0.7393,-90.3518,78.76,86,69,7.0,broken clouds
48,Port Lincoln,AU,-34.7333,135.8667,57.18,80,9,13.27,clear sky
49,Georgetown,MY,5.4112,100.3354,81.23,90,20,3.44,few clouds
50,Filingue,NE,14.3521,3.3168,77.63,14,19,6.58,few clouds
51,Vila Velha,BR,-20.3297,-40.2925,78.75,83,100,11.5,overcast clouds
52,Hasaki,JP,35.7333,140.8333,54.28,76,100,22.1,overcast clouds
53,Raudeberg,NO,61.9875,5.1352,41.95,72,11,8.43,few clouds
54,Japura,ID,-0.3167,102.35,73.15,99,100,3.47,moderate rain
55,Bluff,NZ,-46.6,168.3333,50.81,78,96,15.3,overcast clouds
56,Naze,JP,28.3667,129.4833,58.12,79,100,19.53,overcast clouds
57,Erzin,TR,36.9559,36.2,59.14,75,77,3.18,broken clouds
58,Morondava,MG,-20.2833,44.2833,78.51,75,93,1.77,overcast clouds
59,Chokurdakh,RU,70.6333,147.9167,-1.93,96,100,9.4,overcast clouds
60,New Norfolk,AU,-42.7826,147.0587,51.71,70,6,2.57,clear sky
61,Ihosy,MG,-22.4,46.1167,69.17,70,78,1.63,broken clouds
62,Milkovo,RU,54.7167,158.6167,7.7,96,77,3.6,broken clouds
63,Bredasdorp,ZA,-34.5322,20.0403,64.06,79,59,2.75,broken clouds
64,Cape Town,ZA,-33.9258,18.4232,69.28,73,0,10.36,clear sky
65,Mafeteng,LS,-29.823,27.2374,68.45,44,89,4.59,overcast clouds
66,Roseburg,US,43.2165,-123.3417,47.17,91,100,0.0,mist
67,Mataura,NZ,-46.1927,168.8643,50.49,59,86,4.9,overcast clouds
68,Hamilton,US,39.1834,-84.5333,40.14,53,0,17.27,clear sky
69,Beyneu,KZ,45.3167,55.2,23.9,29,0,6.04,clear sky
70,Carnarvon,AU,-24.8667,113.6333,69.12,82,3,17.38,clear sky
71,Kenai,US,60.5544,-151.2583,-2.11,78,40,4.61,scattered clouds
72,Atuona,PF,-9.8,-139.0333,77.86,75,55,16.93,broken clouds
73,Komsomolskiy,UZ,40.4272,71.7189,47.12,87,25,6.91,scattered clouds
74,Lavrentiya,RU,65.5833,-171.0,26.17,89,82,9.64,broken clouds
75,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,90,100,14.16,overcast clouds
76,Fortuna,US,40.5982,-124.1573,55.35,65,100,23.02,overcast clouds
77,Ibra,OM,22.6906,58.5334,69.49,35,98,3.51,overcast clouds
78,Lethem,GY,3.3803,-59.7968,87.69,54,54,8.3,broken clouds
79,Victoria,HK,22.2855,114.1577,64.26,80,100,15.99,overcast clouds
80,Port Elizabeth,ZA,-33.918,25.5701,69.1,85,0,13.8,clear sky
81,Marawi,PH,7.9986,124.2928,66.92,95,24,1.39,few clouds
82,Severo-Kurilsk,RU,50.6789,156.125,29.01,83,45,9.53,scattered clouds
83,Sayansk,RU,54.1088,102.1648,-4.04,88,95,7.31,overcast clouds
84,Vylkove,UA,45.4021,29.586,40.69,70,100,12.64,overcast clouds
85,Platanos,GR,37.6667,21.6167,57.56,90,100,6.69,overcast clouds
86,Airai,TL,-8.9266,125.4092,60.58,93,100,0.85,overcast clouds
87,Kirkwall,GB,58.9848,-2.9587,46.96,81,100,18.41,overcast clouds
88,Jamestown,US,42.097,-79.2353,36.01,71,100,24.0,overcast clouds
89,Zhuhai,CN,22.2769,113.5678,62.31,88,40,20.71,scattered clouds
90,Baru,ID,-7.0525,112.3901,74.5,89,99,8.05,overcast clouds
91,Bahia Honda,CU,22.9036,-83.1592,83.26,67,17,9.91,few clouds
92,Samarai,PG,-10.6167,150.6667,81.5,78,100,6.91,overcast clouds
93,Constitucion,CL,-35.3333,-72.4167,62.2,65,0,19.24,clear sky
94,Itarema,BR,-2.9248,-39.9167,81.68,67,90,15.01,overcast clouds
95,Port Alfred,ZA,-33.5906,26.891,66.18,94,100,8.93,overcast clouds
96,Barrow,US,71.2906,-156.7887,28.42,93,100,17.27,light snow
97,Avarua,CK,-21.2078,-159.775,80.65,78,75,16.11,broken clouds
98,Atherton,GB,53.5237,-2.4935,43.9,92,47,1.99,scattered clouds
99,Pafos,CY,34.7667,32.4167,62.38,88,40,4.61,scattered clouds
100,Hays,US,30.0502,-98.0336,57.22,40,0,7.0,clear sky
101,Ostrovnoy,RU,68.0531,39.5131,19.85,94,82,7.81,broken clouds
102,Longkou,CN,37.6508,120.3286,33.48,53,100,18.99,overcast clouds
103,Longview,US,32.5007,-94.7405,57.45,29,0,10.36,clear sky
104,Severnyy,RU,50.677,36.5532,26.64,63,0,15.66,clear sky
105,Arecibo,PR,18.4724,-66.7157,84.29,72,0,3.0,clear sky
106,Castro,BR,-24.7911,-50.0119,69.4,83,81,2.42,broken clouds
107,Kadur,IN,13.5533,76.0131,63.99,66,0,2.62,clear sky
108,Nalut,LY,30.3333,10.85,52.81,46,0,7.61,clear sky
109,Souillac,MU,-20.5167,57.5167,75.58,78,40,4.61,light rain
110,Hobyo,SO,5.3505,48.5268,79.75,75,10,12.84,clear sky
111,Ginir,ET,7.1333,40.7,55.8,38,49,7.61,scattered clouds
112,Yaounde,CM,3.8667,11.5167,72.1,80,89,2.01,overcast clouds
113,Bethel,US,41.3712,-73.414,56.89,86,100,5.01,moderate rain
114,Caravelas,BR,-17.7125,-39.2481,79.65,85,100,5.35,overcast clouds
115,Sabang,ID,5.8933,95.3214,80.51,73,99,1.63,overcast clouds
116,Port Hawkesbury,CA,45.6169,-61.3485,36.99,72,0,12.66,clear sky
117,Cabo San Lucas,MX,22.8909,-109.9124,83.5,65,20,4.61,few clouds
118,Tagab,AF,34.855,69.6492,51.85,23,67,5.01,broken clouds
119,Ancud,CL,-41.8697,-73.8203,55.89,54,11,7.31,few clouds
120,Bolshoye Nagatkino,RU,54.5196,47.9679,5.52,97,37,3.65,scattered clouds
121,Srivardhan,IN,18.0333,73.0167,74.55,70,92,4.43,overcast clouds
122,Vaini,TO,-21.2,-175.2,80.76,78,75,4.61,broken clouds
123,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,37,9.6,scattered clouds
124,Vostok,RU,46.4856,135.8833,-7.87,94,100,13.35,light snow
125,Mangan,IN,27.5167,88.5333,59.41,36,53,6.53,broken clouds
126,Hofn,IS,64.2539,-15.2082,48.22,100,100,14.97,mist
127,Poum,NC,-20.2333,164.0167,81.45,82,50,16.04,scattered clouds
128,Sitka,US,57.0531,-135.33,26.49,36,0,21.85,clear sky
129,Guerrero Negro,MX,27.9769,-114.0611,65.89,58,5,11.79,clear sky
130,Kourou,GF,5.1552,-52.6478,82.45,85,99,8.43,overcast clouds
131,Kaitangata,NZ,-46.2817,169.8464,53.02,57,11,8.79,few clouds
132,Nouadhibou,MR,20.931,-17.0347,65.66,76,0,17.47,clear sky
133,Thompson,CA,55.7435,-97.8558,-11.04,58,20,11.5,few clouds
134,Salisbury,GB,51.0693,-1.7957,44.02,96,20,5.75,mist
135,Honningsvag,NO,70.9821,25.9704,35.35,80,100,18.41,overcast clouds
136,Novobirilyussy,RU,56.9514,90.6661,-14.53,99,56,3.4,broken clouds
137,Berlevag,NO,70.8578,29.0864,33.8,80,0,8.05,clear sky
138,Tasiilaq,GL,65.6145,-37.6368,39.36,96,100,21.65,moderate rain
139,Dzilam Gonzalez,MX,21.2833,-88.9333,82.53,73,73,9.48,light rain
140,Birnin Kebbi,NG,12.4539,4.1975,77.02,20,9,9.64,clear sky
141,Oum Hadjer,TD,13.2954,19.6966,78.69,18,55,10.54,broken clouds
142,Coquimbo,CL,-29.9533,-71.3436,69.53,60,75,11.5,broken clouds
143,Galle,LK,6.0367,80.217,76.95,85,100,2.06,overcast clouds
144,Chuy,UY,-33.6971,-53.4616,75.52,72,15,17.05,few clouds
145,Barreirinhas,BR,-2.7469,-42.8264,83.41,61,39,10.25,scattered clouds
146,Pacific Grove,US,36.6177,-121.9166,57.54,71,0,8.01,clear sky
147,Logresti,RO,44.9,23.7,36.81,82,100,5.75,overcast clouds
148,Kaihua,CN,23.3687,104.28,61.59,96,88,6.26,overcast clouds
149,Sinnamary,GF,5.3833,-52.95,78.6,84,78,10.67,broken clouds
150,Hermanus,ZA,-34.4187,19.2345,60.8,88,48,1.36,scattered clouds
151,Kochubey,RU,44.3861,46.5825,40.48,63,84,17.92,broken clouds
152,Goderich,CA,43.7501,-81.7165,34.92,64,100,21.85,overcast clouds
153,La Ronge,CA,55.1001,-105.2842,-12.75,53,75,5.75,broken clouds
154,Ibanesti,RO,46.7667,24.9333,29.86,84,88,7.45,overcast clouds
155,Mitsamiouli,KM,-11.3847,43.2844,78.58,75,1,6.29,clear sky
156,Bhuvanagiri,IN,11.4667,79.6333,75.79,89,61,7.96,broken clouds
157,Tahoua,NE,14.8888,5.2692,80.58,22,0,2.3,clear sky
158,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.31,79,100,9.75,overcast clouds
159,Barcarena,BR,-1.5058,-48.6258,86.05,71,30,7.31,scattered clouds
160,Sherlovaya Gora,RU,50.5667,116.25,-27.4,99,9,2.98,clear sky
161,Drabiv,UA,49.963,32.1529,30.43,51,79,11.41,broken clouds
162,Palmer,US,42.1584,-72.3287,57.61,82,100,7.0,moderate rain
163,Sechura,PE,-5.5569,-80.8222,75.92,62,24,17.27,few clouds
164,Sangar,RU,63.9242,127.4739,-35.1,97,99,3.62,overcast clouds
165,Yellowknife,CA,62.456,-114.3525,-17.88,76,20,4.61,few clouds
166,San Cristobal,VE,7.7669,-72.225,69.98,68,49,6.11,scattered clouds
167,Manakara,MG,-22.1333,48.0167,73.08,92,100,5.17,light rain
168,Borazjan,IR,29.2666,51.2159,72.88,72,11,0.85,few clouds
169,Pudozh,RU,61.8099,36.5345,15.57,95,100,2.55,overcast clouds
170,Cidreira,BR,-30.1811,-50.2056,71.73,90,98,16.73,overcast clouds
171,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,102.38,17,51,6.89,broken clouds
172,Iranshahr,IR,27.2025,60.6848,62.94,22,0,4.61,clear sky
173,Amuntai,ID,-2.4177,115.2494,73.85,99,100,0.65,light rain
174,Khatanga,RU,71.9667,102.5,-39.46,100,55,5.39,broken clouds
175,Laguna,US,38.421,-121.4238,58.08,56,0,4.61,clear sky
176,Luanda,AO,-8.8368,13.2343,78.8,83,40,6.91,scattered clouds
177,Tarazona,ES,41.9,-1.7333,42.62,84,64,0.11,broken clouds
178,Nikolskoye,RU,59.7035,30.7861,24.69,86,100,3.83,overcast clouds
179,Biak,ID,-0.9131,122.8766,76.1,79,93,3.27,overcast clouds
180,Saint-Louis,SN,16.3333,-15.0,83.84,13,0,9.44,clear sky
181,Severomuysk,RU,56.1481,113.4267,-24.57,96,100,5.17,overcast clouds
182,Mount Gambier,AU,-37.8333,140.7667,52.59,96,57,3.96,broken clouds
183,Diego De Almagro,CL,-26.3667,-70.05,74.12,33,0,15.68,clear sky
184,Plock,PL,52.5468,19.7064,33.21,82,100,6.64,overcast clouds
185,Saint-Augustin,CA,51.226,-58.6502,9.46,89,99,5.39,overcast clouds
186,Balabac,PH,7.9868,117.0645,79.72,86,100,15.3,moderate rain
187,Kudahuvadhoo,MV,2.6708,72.8944,79.97,68,30,4.47,scattered clouds
188,Ifanadiana,MG,-21.3,47.6333,67.6,98,95,1.03,overcast clouds
189,Evensk,RU,61.95,159.2333,28.24,98,100,6.15,snow
190,Aksu,CN,41.1231,80.2644,15.94,20,0,2.15,clear sky
191,Katsuura,JP,35.1333,140.3,55.29,84,100,18.66,overcast clouds
192,Makanya,TZ,-4.3667,37.8333,72.39,81,100,3.6,overcast clouds
193,Matamoros,MX,25.5333,-103.25,76.1,22,0,3.44,clear sky
194,Alyangula,AU,-13.8483,136.4192,80.92,74,90,5.35,overcast clouds
195,Westport,US,41.1415,-73.3579,58.15,85,100,21.85,moderate rain
196,San Patricio,US,28.017,-97.5169,66.07,43,5,18.72,clear sky
197,Luderitz,NA,-26.6481,15.1594,63.48,78,0,10.58,clear sky
198,Bud,US,39.447,-86.1758,37.35,58,0,19.1,clear sky
199,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,71,75,13.8,broken clouds
200,Coahuayana,MX,18.7333,-103.6833,86.68,59,7,6.17,clear sky
201,Bulawayo,ZW,-20.15,28.5833,65.03,50,0,8.46,clear sky
202,Sovetsk,RU,55.0839,21.8785,31.86,97,100,5.44,overcast clouds
203,Uarini,BR,-2.99,-65.1083,85.51,73,100,2.46,overcast clouds
204,Mazatlan,MX,23.2167,-106.4167,85.96,72,20,5.01,few clouds
205,Abu Samrah,SY,35.3029,37.1841,55.81,86,95,4.03,overcast clouds
206,Katobu,ID,-4.9408,122.5276,74.77,93,100,2.35,overcast clouds
207,Aswan,EG,24.0934,32.907,70.9,30,0,4.61,clear sky
208,Msanga,TZ,-6.05,36.0333,72.21,66,69,8.46,broken clouds
209,Huarmey,PE,-10.0681,-78.1522,72.01,73,68,10.94,broken clouds
210,Ponta Do Sol,PT,32.6667,-17.1,65.03,74,4,1.14,clear sky
211,Bosaso,SO,11.2842,49.1816,77.36,76,0,3.15,clear sky
212,Krasnoselkup,RU,65.7,82.4667,-1.3,97,100,9.35,overcast clouds
213,Onega,RU,63.9061,38.1404,12.52,91,98,4.12,overcast clouds
214,Togul,RU,53.465,85.9128,-12.69,92,5,3.85,clear sky
215,Port Hardy,CA,50.6996,-127.4199,28.58,93,75,3.44,broken clouds
216,Faanui,PF,-16.4833,-151.75,79.92,77,17,13.42,few clouds
217,Vestmanna,FO,62.1564,-7.1664,47.32,93,100,19.57,drizzle rain
218,Narsaq,GL,60.9167,-46.05,28.62,89,100,1.25,overcast clouds
219,Koumac,NC,-20.5667,164.2833,81.23,77,98,4.34,overcast clouds
220,Sinjhoro,PK,26.0303,68.809,67.05,17,0,5.68,clear sky
221,San Borja,BO,-14.8167,-66.85,95.95,34,76,4.61,broken clouds
222,Northam,GB,51.0333,-4.2167,45.25,89,77,8.55,broken clouds
223,Santa Rosa,PH,14.3122,121.1114,80.58,94,100,9.91,overcast clouds
224,Buala,SB,-8.145,159.5921,79.74,83,100,4.47,light rain
225,Kargasok,RU,59.0556,80.8572,-22.49,100,16,1.81,few clouds
226,Maceio,BR,-9.6658,-35.7353,83.64,69,40,12.66,scattered clouds
227,Upernavik,GL,72.7868,-56.1549,7.92,89,100,16.37,light snow
228,Kamaishi,JP,39.2667,141.8833,35.56,59,73,8.46,broken clouds
229,Alofi,NU,-19.0595,-169.9187,80.49,83,40,6.91,scattered clouds
230,San Quintin,MX,30.4833,-115.95,61.07,63,12,10.49,few clouds
231,Bullhead City,US,35.1478,-114.5683,64.72,23,0,13.8,clear sky
